mol,v1,v2,v3,vref
Cr,-2944.2912,-2813.8701,-2796.4468,-2863.68
Mn,-4259.8771,-4221.8368,-4215.8657,-4279.8494
Co,-6125.6798,-4967.6189,-4963.6009,-4993.8201
Zn,1985.4178,1947.7289,1946.8668,1939.1123
Mo,-403.3011,-335.5684,-315.6369,-383.6767
Tc,-1264.2636,-1241.5628,-1228.3957,-1254.453
Ru,-762.8891,69.6719,204.9638,74.8138
Pd,-1768.4043,-1550.3824,-1533.235,-1477.3337
Ag,4589.0627,4408.0483,4408.4061,4377.6442
W,4468.8709,4547.5992,4567.8561,4436.9428
Re,3414.5834,3435.8192,3446.8677,3390.2474
Pt,2557.4652,3066.9424,3125.3993,2884.9378
